z [Angs],Charge Dens [e/Angs3],Potential [V]
0.0,0.0,-0.0
0.1,0.0,-0.0
0.2,0.0,-0.0
0.30000000000000004,0.0,-0.0
0.4,0.0,-0.0
0.5,0.0,-0.0
0.6000000000000001,0.0,-0.0
0.7000000000000001,0.0,-0.0
0.8,0.0,-0.0
0.9,0.0,-0.0
1.0,0.04291710706004658,-0.0
1.1,0.0,-0.07765905474606188
1.2000000000000002,0.0,-0.15531810949212377
1.3,0.0,-0.23297716423818546
1.4000000000000001,0.0,-0.31063621898424737
1.5,0.0,-0.3882952737303091
1.6,0.0,-0.4659543284763709
1.7000000000000002,0.0,-0.5436133832224328
1.8,0.0,-0.6212724379684945
1.9000000000000001,0.0,-0.6989314927145563
2.0,0.0,-0.7765905474606182
2.1,0.0,-0.85424960220668
2.2,0.0,-0.9319086569527418
2.3000000000000003,0.0,-1.0095677116988038
2.4000000000000004,0.0,-1.0872267664448656
2.5,0.0,-1.1648858211909272
2.6,0.0,-1.242544875936989
2.7,0.0,-1.3202039306830509
2.8000000000000003,0.0,-1.3978629854291127
2.9000000000000004,0.0,-1.4755220401751747
3.0,0.0,-1.5531810949212363
3.1,0.0,-1.6308401496672982
3.2,0.0,-1.70849920441336
3.3000000000000003,0.0019258535516524344,-1.7861582591594218
3.4000000000000004,0.0,-1.8673021705662884
3.5,0.0002958905414324097,-1.948446081973155
3.6,-0.007786833148781324,-2.0301254111033966
3.7,-0.015524734683919862,-2.097714365946444
3.8000000000000003,-0.024606798383170474,-2.137211114596521
3.9000000000000004,-0.0423708829967802,-2.132181546500916
4.0,-0.009239272060184461,-2.0504813230957146
4.1000000000000005,-0.03409530466561384,-1.952062518595758
4.2,-0.023657548939266353,-1.7919478237389357
4.3,0.014234608633027725,-1.5890244911595932
4.4,0.009162764218442051,-1.4118588651650483
4.5,0.0481046761895868,-1.2512733783460013
4.6000000000000005,-0.004763622970168054,-1.1777339190357936
4.7,0.05534059833892908,-1.0955746229665002
4.800000000000001,0.017098854980067926,-1.1135548481857611
4.9,-0.006307090703746787,-1.162475670429284
5.0,0.0030386344594724576,-1.1999837312868802
5.1000000000000005,-0.00039557741297426447,-1.2429902401062936
5.2,0.006377658919103096,-1.2852809465318618
5.300000000000001,0.002816584467015102,-1.3391121084326187
5.4,0.002779140107846446,-1.3980399159906602
5.5,0.004494703615983891,-1.4619966131586257
5.6000000000000005,-0.002388692759555736,-1.5340865340709744
5.7,-0.005999465778478412,-1.6018540848495133
5.800000000000001,-0.027352533418658908,-1.6587655254833
5.9,-0.01097156366960731,-1.6661822066676413
6.0,-0.008414822944005635,-1.6537457029093003
6.1000000000000005,-0.005151522329521255,-1.6260824692883755
6.2,-0.009629472279113344,-1.589097490050859
6.300000000000001,0.001412668127552409,-1.534687857426218
6.4,0.004925560875785243,-1.482834465866524
6.5,0.0017948323813706734,-1.4398939397796242
6.6000000000000005,0.0054837834956536664,-1.400201185868277
6.7,0.0037787868981600872,-1.3704314084079916
6.800000000000001,0.007882455168406147,-1.3474993942244176
6.9,0.002921622967495945,-1.3388307835969182
7.0,0.004925577919189509,-1.33544888713826
7.1000000000000005,2.539467235379804e-05,-1.3409798869926552
7.2,0.010682396751157164,-1.3465568388318336
7.300000000000001,-0.0022693037126843563,-1.3714637243721954
7.4,0.006271887552238889,-1.3922642757877466
7.5,-0.006493179113206481,-1.4244138880358215
7.6000000000000005,-0.005805349925610235,-1.4448140095383326
7.7,-0.009196629462715199,-1.454709276017363
7.800000000000001,-0.002461067575764061,-1.4479631237277637
7.9,-0.013348658392561193,-1.4367636381477222
8.0,0.004119731678765156,-1.401409584286927
8.1,-0.014449142484204527,-1.373510237648886
8.200000000000001,0.007524952720558313,-1.3194649826753955
8.3,0.005819691950298638,-1.2790362260010557
8.4,0.0020992701900416255,-1.2491382764275065
8.5,0.01233188298096194,-1.2230389831424002
8.6,-0.003925223827598903,-1.21925439001172
8.700000000000001,0.013085158840933074,-1.2083670541054978
8.8,0.010759322156304056,-1.2211574806674435
8.9,0.005215094227427071,-1.253417038436162
9.0,-0.0026729767426841595,-1.2951133759847213
9.1,-0.011949437510973314,-1.3319729278919583
9.200000000000001,-0.0029758721232691944,-1.3472098196196356
9.3,0.013970112042250148,-1.357061832636477
9.4,0.0016429586059715495,-1.3921929422704287
9.5,0.004533886402387501,-1.43029700653872
9.600000000000001,0.0008432565127844755,-1.4766051963050972
9.700000000000001,0.0008918387366398462,-1.5244392695286173
9.8,0.001573668645935064,-1.5738871363654043
9.9,-0.00410859381407844,-1.626182576766638
10.0,-0.011122099537771688,-1.6710434640538783
10.100000000000001,-0.006887307836818283,-1.6957787698175015
10.200000000000001,-0.009748563066410098,-1.7080514038636592
10.3,0.0032252256493579485,-1.702683888218218
10.4,0.0016429074757587571,-1.7031524596818508
10.5,-0.009422360830493642,-1.7065938932590452
10.600000000000001,0.004676309610122076,-1.692985444267302
